time,timestamps,ax,ay,az,mag
18:24:42.761,40152,-1.30,0.17,-0.46,1.39
18:24:42.781,40166,-0.75,-0.18,-0.51,0.93
18:24:42.789,40180,-0.45,-0.22,-0.47,0.68
18:24:42.802,40194,-0.31,-0.72,-0.30,0.84
18:24:42.820,40208,-0.26,-0.86,-0.11,0.90
18:24:42.831,40222,-0.73,-1.04,0.06,1.28
18:24:42.850,40236,-2.13,-1.48,-0.24,2.60
18:24:42.860,40250,-1.59,-0.54,0.76,1.84
18:24:42.878,40264,-0.43,-0.34,0.02,0.55
18:24:42.889,40278,-0.45,-0.61,-0.47,0.89
18:24:42.900,40292,-0.23,-1.12,0.51,1.25
18:24:42.915,40306,-0.16,-1.45,0.68,1.61
18:24:42.935,40320,-0.96,-0.43,0.63,1.23
18:24:42.942,40334,-0.74,-0.92,0.04,1.18
18:24:42.962,40348,-0.69,-0.48,-0.02,0.84
18:24:42.988,40362,-0.41,-0.89,-0.39,1.06
18:24:42.991,40376,-0.29,-1.44,-0.45,1.54
18:24:43.000,40390,-0.26,-1.44,-0.60,1.59
18:24:43.017,40404,-0.52,-0.87,-0.37,1.08
18:24:43.027,40418,-0.73,-0.75,-0.19,1.07
18:24:43.043,40432,-0.83,-0.77,-0.10,1.14
18:24:43.058,40446,-0.65,-0.84,-0.25,1.09
18:24:43.068,40460,-0.62,-0.90,-0.27,1.12
18:24:43.083,40474,-0.65,-0.89,-0.28,1.14
18:24:43.099,40488,-0.67,-0.84,-0.29,1.11
18:24:43.110,40502,-0.71,-0.80,-0.25,1.10
18:24:43.128,40516,-0.76,-0.75,-0.21,1.08
18:24:43.138,40530,-0.80,-0.70,-0.20,1.08
18:24:43.154,40544,-0.81,-0.67,-0.22,1.08
18:24:43.171,40558,-0.79,-0.67,-0.29,1.07
18:24:43.189,40572,-0.78,-0.66,-0.36,1.08
18:24:43.195,40586,-0.76,-0.68,-0.37,1.08
18:24:43.215,40600,-0.76,-0.70,-0.34,1.09
18:24:43.225,40614,-0.78,-0.69,-0.29,1.08
18:24:43.242,40628,-0.75,-0.71,-0.27,1.07
18:24:43.250,40642,-0.69,-0.75,-0.28,1.06
18:24:43.270,40656,-0.71,-0.75,-0.28,1.07
18:24:43.280,40670,-0.71,-0.77,-0.24,1.07
18:24:43.331,40684,-0.69,-0.80,-0.23,1.08
18:24:43.332,40698,-0.68,-0.85,-0.22,1.12
18:24:43.334,40712,-0.69,-0.88,-0.22,1.14
18:24:43.338,40726,-0.77,-0.85,-0.22,1.16
18:24:43.372,40740,-0.84,-0.84,-0.27,1.21
18:24:43.373,40754,-0.81,-0.80,-0.31,1.18
18:24:43.376,40768,-0.80,-0.79,-0.28,1.16
18:24:43.413,40782,-0.75,-0.83,-0.31,1.17
18:24:43.414,40796,-0.76,-0.87,-0.26,1.18
18:24:43.418,40810,-0.77,-0.86,-0.22,1.18
18:24:43.452,40824,-0.80,-0.82,-0.21,1.16
18:24:43.453,40838,-0.80,-0.77,-0.22,1.13
18:24:43.495,40852,-0.80,-0.73,-0.25,1.11
18:24:43.495,40866,-0.85,-0.77,-0.35,1.20
18:24:43.496,40880,-0.83,-0.98,-0.50,1.38
18:24:43.519,40894,-1.15,-0.85,-0.30,1.46
18:24:43.520,40908,-1.15,-0.65,-0.30,1.35
18:24:43.530,40922,-1.44,-0.55,-0.27,1.57
18:24:43.552,40936,-1.98,-0.38,-0.29,2.03
18:24:43.562,40950,-1.89,-0.46,-0.06,1.94
18:24:43.578,40964,-1.39,-0.50,-0.33,1.52
18:24:43.588,40978,-0.92,-0.83,-0.58,1.36
18:24:43.600,40992,-0.50,-1.36,-0.00,1.45
18:24:43.619,41006,-0.28,-1.93,0.15,1.95
18:24:43.629,41020,-0.11,-2.00,-0.09,2.01
18:24:43.643,41034,0.26,-2.00,-0.58,2.10
18:24:43.659,41048,0.45,-1.43,-0.58,1.61
18:24:43.676,41062,0.02,-0.83,0.06,0.83
18:24:43.686,41076,-0.05,-0.82,1.24,1.49
18:24:43.706,41090,-0.58,-0.53,0.54,0.96
18:24:43.720,41104,-0.43,-0.78,0.57,1.06
18:24:43.736,41118,-0.16,-0.85,0.28,0.90
18:24:43.739,41132,0.07,-0.93,0.22,0.96
18:24:43.758,41146,0.25,-0.83,0.24,0.90
